,secID,code
801,002290.XSHE,2290
802,002291.XSHE,2291
803,002292.XSHE,2292
804,002293.XSHE,2293
805,002294.XSHE,2294
806,002295.XSHE,2295
807,002296.XSHE,2296
808,002297.XSHE,2297
809,002298.XSHE,2298
810,002299.XSHE,2299
811,002300.XSHE,2300
812,002301.XSHE,2301
813,002302.XSHE,2302
814,002303.XSHE,2303
815,002304.XSHE,2304
816,002305.XSHE,2305
817,002306.XSHE,2306
818,002307.XSHE,2307
819,002308.XSHE,2308
820,002309.XSHE,2309
821,002310.XSHE,2310
822,002311.XSHE,2311
823,002312.XSHE,2312
824,002313.XSHE,2313
825,002314.XSHE,2314
826,002315.XSHE,2315
827,002316.XSHE,2316
828,002317.XSHE,2317
829,002318.XSHE,2318
830,002319.XSHE,2319
831,002320.XSHE,2320
832,002321.XSHE,2321
833,002322.XSHE,2322
834,002323.XSHE,2323
835,002324.XSHE,2324
836,002325.XSHE,2325
837,002326.XSHE,2326
838,002327.XSHE,2327
839,002328.XSHE,2328
840,002329.XSHE,2329
841,002330.XSHE,2330
842,002331.XSHE,2331
843,002332.XSHE,2332
844,002333.XSHE,2333
845,002334.XSHE,2334
846,002335.XSHE,2335
847,002336.XSHE,2336
848,002337.XSHE,2337
849,002338.XSHE,2338
850,002339.XSHE,2339
851,002340.XSHE,2340
852,002341.XSHE,2341
853,002342.XSHE,2342
854,002343.XSHE,2343
855,002344.XSHE,2344
856,002345.XSHE,2345
857,002346.XSHE,2346
858,002347.XSHE,2347
859,002348.XSHE,2348
860,002349.XSHE,2349
861,002350.XSHE,2350
862,002351.XSHE,2351
863,002352.XSHE,2352
864,002353.XSHE,2353
865,002354.XSHE,2354
866,002355.XSHE,2355
867,002356.XSHE,2356
868,002357.XSHE,2357
869,002358.XSHE,2358
870,002359.XSHE,2359
871,002360.XSHE,2360
872,002361.XSHE,2361
873,002362.XSHE,2362
874,002363.XSHE,2363
875,002364.XSHE,2364
876,002365.XSHE,2365
877,002366.XSHE,2366
878,002367.XSHE,2367
879,002368.XSHE,2368
880,002369.XSHE,2369
881,002370.XSHE,2370
882,002371.XSHE,2371
883,002372.XSHE,2372
884,002373.XSHE,2373
885,002374.XSHE,2374
886,002375.XSHE,2375
887,002376.XSHE,2376
888,002377.XSHE,2377
